CellID,total_sms,total_calls,total_activity
8112,798.7544,718.9039,11242.4233
8113,799.5082,673.6766,10607.5147
8114,785.7196,461.9659,7637.1833
8115,565.3801,375.6612,5955.1248000000005
8116,478.7555,347.8413,6079.3332
8117,420.7587,329.5827,5918.8871
8118,204.1989,183.1246,3744.4945000000002
8119,221.80939999999998,192.0554,3882.4848
8120,276.645,220.1815,4521.2669
8121,293.7449,230.852,4828.5875
8122,293.7449,230.852,4828.5875
8123,285.3233,228.9554,4651.5974
8124,235.0931,198.05429999999998,3587.4191
8125,97.9154,74.0291,1286.4928
8126,26.6164,26.078500000000002,1100.08
8127,25.7358,25.6902,1102.6132
8128,25.1245,25.4183,1102.1618
8129,160.792,173.71550000000002,2554.1198999999997
8130,358.7123,357.788,5326.0504
8131,388.0675,388.2503,5802.203399999999
8132,550.5514000000001,516.1908,8803.4064
8133,756.182,630.7569,10084.0399
8134,864.8449,688.058,9876.773
8135,679.716,548.5128,7164.3556
8136,726.7058,559.791,8151.1625
8137,846.7132,626.1528,9294.988
8138,679.9588,445.26509999999996,8274.4494
8139,640.3219,399.2498,8040.2294
8140,652.4348,409.4925,7646.5416000000005
8141,643.3041,416.5887,6815.9439
8142,761.8193,564.3577,9417.568
8143,848.5112,591.087,10900.3269
8144,891.1889,583.587,11450.5539
8145,1511.9542,593.3335999999999,11592.2523
8146,1931.6496,517.5207,8931.8488
8147,1782.4049,426.6281,6126.1738000000005
8148,1779.8425,448.88059999999996,6287.9057
8149,1831.1004,496.4348,7364.9088
8150,1223.9216000000001,515.9957,7811.5022
8151,1001.98,902.3614,12069.7706
8152,1051.5825,941.6561,12519.079600000001
8153,1233.3546000000001,1048.1538,16722.351
8154,1524.6396,1215.5674,23965.4292
8155,834.3224,749.3058,11882.039
8156,708.0129000000001,788.0306,8608.3391
8157,735.109,817.1076,8836.9954
8158,686.6058,669.3618,8741.1379
8159,591.0636,505.0887,8365.5759
8160,672.8451,566.9659,8733.017100000001
8161,701.9371,591.9634,8914.2526
8162,702.5581999999999,572.8616000000001,8667.5399
8163,701.6194,547.3612,8328.6291
8164,721.6799,481.9962,9092.7766
8165,794.2535,565.1657,9373.8812
8166,758.775,653.9147,10368.761199999999
8167,890.0902,891.0413,11647.9763
8168,793.0236,754.1211,11399.1437
8169,5753.5272,5662.7136,66531.4473
8170,716.3105,678.2847,13307.5202
8171,1351.9065,1272.9454,19360.4317
8172,1249.1156,1194.6817,16913.4581
8173,983.2133,1175.7874,17026.1273
8174,948.1221,1098.4765,15532.8913
8175,1463.1562,1129.2731,16495.3382
8176,1468.2604000000001,1082.6458,18931.7389
8177,1079.4443,828.094,14375.9526
8178,819.7277,724.022,10751.0702
8179,999.976,851.1272,13479.118699999999
8180,1097.8111000000001,887.7766,14922.260400000001
8181,1019.2488999999999,849.7748,13914.7832
8182,900.1995,771.4517,12332.3664
8183,845.0407,725.5718,12041.8173
8184,745.1218,663.5541,12529.6565
8185,1220.423,1031.6974,16179.454999999998
8186,1458.459,1223.1904,17662.069
8187,1332.1368,1041.373,13667.7724
8188,1330.4778,1107.7924,16396.6482
8189,1433.5987,1134.9254,21198.6592
8190,1694.904,1200.9491,22902.085
8191,1573.9333,1027.8388,20689.2263
8192,923.8213999999999,638.5073,13525.1919
8193,913.7317,635.0042,13512.8484
8194,827.7125,616.0612,12564.679100000001
8195,685.7615999999999,514.9477,9660.6629
8196,452.7455,344.5094,6081.5221
8197,356.0243,289.7297,5299.3438
8198,426.4357,316.43899999999996,5937.9839
8199,357.9169,252.01330000000002,5429.8293
8200,260.8445,162.312,4676.2405
8201,312.7924,235.92190000000002,2579.6056
8202,387.24580000000003,300.5286,3116.9279
8203,481.4042,389.4235,4710.1595
8204,592.6166000000001,475.9655,6371.3081
